C
-30.295
-30.303
-30.357
-30.247
-32.2
-32.068
-32.413
-32.375
-30.424
-30.745
-30.212
-30.396
-34.422
-34.532
-34.156
-34.37
-27.507
-27.395
-27.466
-27.439
-28.439
-29.73
-28.607
-28.125
