N
2.677
1.867
2.593
1.42
-0.482
-0.24
-0.594
-0.54
0.678
0.551
0.69
0.387
4.747
5.284
4.877
4.79
2.607
2.519
2.68
2.171
5.157
7.502
5.032
5.284
