C
-32.062
-32.204
-32.196
-31.838
-31.728
-31.627
-31.654
-31.257
-29.911
-29.783
-29.653
-29.773
-31.901
-31.816
-31.422
-31.631
-26.274
-26.316
-26.389
-26.3
-27.745
-28.434
-28.023
-27.887
