Source,Time,QPACarbon,QPANitrogen
LeafLitter,Feb,-32.062,0.443
LeafLitter,Feb,-32.204,0.175
LeafLitter,Feb,-32.196,0.907
LeafLitter,Feb,-31.838,0.711
LeafLitter,Nov,-31.728,0.971
LeafLitter,Nov,-31.627,0.953
LeafLitter,Nov,-31.654,0.642
LeafLitter,Nov,-31.257,1.152
LeafLitter,Jun,-29.911,3.782
LeafLitter,Jun,-29.783,3.709
LeafLitter,Jun,-29.653,3.597
LeafLitter,Jun,-29.773,3.616
LeafLitter,Feb19,-28.49,1.06
LeafLitter,Feb19,-28.28,1.46
LeafLitter,Feb19,-28.57,0.94
Biofilm,Feb,-31.901,5.805
Biofilm,Feb,-31.816,5.903
Biofilm,Feb,-31.422,6.541
Biofilm,Feb,-31.631,5.996
Biofilm,Nov,-26.274,2.931
Biofilm,Nov,-26.316,2.16
Biofilm,Nov,-26.389,2.906
Biofilm,Nov,-26.3,1.655
Biofilm,Jun,-27.745,6.834
Biofilm,Jun,-28.434,7.084
Biofilm,Jun,-28.023,6.501
Biofilm,Jun,-27.887,6.357
Biofilm,Feb19,-27.97,3.95
Biofilm,Feb19,-27.75,4.13
Biofilm,Feb19,-27.89,4.46
